,City,Latitude,Longitude,Temperature,Humidity(%),Cloudiness,Wind Speed,Country,Date
86,swift current,50.28,-107.8,36.25,81,83,5.59,CA,1603926559
87,clyde river,70.47,-68.59,14.9,89,96,5.86,CA,1603926639
88,sibolga,1.74,98.78,76.26,78,96,3.4,ID,1603926639
89,buraydah,26.33,43.98,62.17,29,0,4.36,SA,1603926519
90,bareli,28.35,79.42,64.69,44,0,2.3,IN,1603926719
91,chokurdakh,70.63,147.92,-5.12,91,43,7.36,RU,1603926759
92,new norfolk,-42.78,147.06,64.0,58,6,1.99,AU,1603926799
93,saskylakh,71.92,114.08,4.53,91,99,10.67,RU,1603926702
94,swinoujscie,53.91,14.25,50.0,99,60,14.72,PL,1603926880
95,hilo,19.73,-155.09,82.99,82,38,3.0,US,1603926920
96,souillac,-20.52,57.52,71.01,75,92,4.0,MU,1603926960
97,baculin,7.45,126.58,81.86,68,62,4.61,PH,1603927000
98,doha,25.29,51.53,77.0,59,0,1.99,QA,1603926803
99,padang,-0.95,100.35,77.76,67,100,3.29,ID,1603927080
100,minab,27.15,57.08,70.23,21,0,5.88,IR,1603927120
101,sisimiut,66.94,-53.67,18.81,88,100,7.2,GL,1603927161
102,cayenne,4.93,-52.33,81.25,81,21,10.67,GF,1603927201
103,mount isa,-20.73,139.5,78.1,16,0,13.67,AU,1603927103
104,male,4.17,73.51,82.31,75,93,12.1,MV,1603927204
105,mogadishu,2.04,45.34,79.18,82,29,7.36,SO,1603927321
106,cedar city,37.68,-113.06,57.99,22,0,15.01,US,1603927212
107,vao,-22.67,167.48,72.54,74,0,17.29,NC,1603927401
108,provideniya,64.38,-173.3,26.38,88,70,1.34,RU,1603927441
109,safaga,26.73,33.94,76.28,66,0,13.09,EG,1603927522
110,keti bandar,24.14,67.45,77.67,66,0,5.82,PK,1603927562
111,tortoli,39.93,9.66,57.99,66,4,4.29,IT,1603927602
112,opuwo,-18.06,13.84,61.07,39,0,4.21,NA,1603927642
113,gamba,-2.65,10.0,76.15,88,100,2.91,GA,1603927682
114,chernenko,44.37,39.31,59.97,53,71,1.34,RU,1603927722
115,bluff,-46.6,168.33,55.99,76,100,7.0,NZ,1603927762
116,east london,-33.02,27.91,67.84,84,97,1.7,ZA,1603927802
117,balsa,46.03,23.12,46.42,88,62,1.28,RO,1603927843
118,marovoay,-16.1,46.63,75.7,70,46,7.43,MG,1603927883
119,mamakan,57.82,114.0,16.95,92,99,2.75,RU,1603927923
120,gweta,-20.18,25.23,77.58,18,0,12.41,BW,1603927963
121,qaanaaq,77.48,-69.36,7.52,73,9,11.21,GL,1603928003
122,yulara,-25.24,130.99,87.08,12,0,14.27,AU,1603928043
123,lebu,-37.62,-73.65,50.81,68,19,19.44,CL,1603927790
124,taoudenni,22.68,-3.98,81.63,16,37,12.64,ML,1603927902
